0,5279,-5362,0,0,0
0.03035,-0.40618,-0.30209,9.45643,0.52948,0.78162,0.03129,0.09130,0.16161,0.19046
0.04600,-0.38225,-0.29970,9.44686,0.53256,0.78218,0.03675,0.27505,0.00411,0.14671
0.06189,-0.37687,-0.30269,9.42892,0.53256,0.78218,0.03675,-0.10995,-0.01339,0.16421
0.07718,-0.37627,-0.32483,9.48635,0.52836,0.78190,0.04543,-0.01370,-0.06589,0.08546
0.09281,-0.37268,-0.28295,9.41875,0.53760,0.78050,0.04417,-0.05745,0.11786,0.30421
0.10840,-0.36191,-0.30808,9.40619,0.53760,0.78050,0.04417,0.02130,-0.02214,0.18171
0.12403,-0.36670,-0.45882,9.39542,0.53564,0.78386,0.04137,0.13505,0.23161,0.17296
0.13961,-0.36550,-0.30269,9.42892,0.53564,0.78386,0.04137,-0.13620,0.10036,0.05046
0.15528,-0.38524,-0.15434,9.59402,0.52612,0.78162,0.05047,-0.12745,0.05661,0.19921
0.17088,-0.37089,-0.30987,9.42353,0.53872,0.78526,0.03885,-0.02245,-0.03964,0.24296
0.18649,-0.38584,-0.15852,9.37269,0.53872,0.78526,0.03885,-0.10120,-0.08339,0.04171
0.20210,-0.38764,-0.32782,9.37628,0.52584,0.78218,0.03857,-0.02245,-0.18839,0.06796
0.21768,-0.39541,-0.45523,9.38585,0.52584,0.78218,0.03857,0.03880,0.22286,0.03296
0.23318,-0.36610,-0.28175,9.40020,0.52836,0.77854,0.04235,-0.31120,-0.18839,0.18171
0.24894,-0.38644,-0.31884,9.37687,0.53004,0.78386,0.02877,0.07380,0.20536,0.19921
0.26455,-0.38285,-0.32483,9.46002,0.53004,0.78386,0.02877,-0.02245,0.00411,0.08546
0.28018,-0.36491,-0.32602,9.45823,0.54068,0.77294,0.03647,-0.14495,0.21411,0.01546
0.29563,-0.38524,-0.29731,9.39063,0.54068,0.77294,0.03339,0.17005,0.17911,0.02421
0.31122,-0.36550,-0.32483,9.42652,0.52780,0.78470,0.03339,-0.11870,-0.10089,0.09421
0.32701,-0.38943,-0.30449,9.41456,0.52528,0.77714,0.04305,-0.08370,-0.10089,0.16421
0.34267,-0.39063,-0.31825,9.45823,0.52528,0.77714,0.04305,0.06505,-0.01339,0.02421
0.35829,-0.37029,-0.19262,9.40379,0.53312,0.77574,0.04795,0.15255,-0.10089,0.12046
0.37391,-0.39003,-0.29133,9.37328,0.52864,0.78554,0.03773,-0.28495,0.04786,0.07671
0.38933,-0.37866,-0.31466,9.45883,0.52864,0.78554,0.03773,0.00380,0.11786,-0.01079
0.40513,-0.38345,-0.30808,9.48575,0.52668,0.78694,0.05159,-0.14495,0.09161,0.12046
0.42076,-0.37747,-0.16630,9.44208,0.52668,0.78694,0.05159,0.04755,-0.13589,0.34796
0.43634,-0.37029,-0.30867,9.38764,0.52164,0.78218,0.04823,-0.02245,0.04786,0.04171
0.45196,-0.38704,-0.16510,9.41815,0.52780,0.77994,0.05257,-0.07495,0.00411,0.09421
0.46740,-0.37747,-0.30269,9.43969,0.52780,0.77994,0.05257,-0.21495,-0.03089,0.22546
0.48319,-0.37866,-0.32841,9.43131,0.53900,0.78470,0.04529,-0.09245,-0.08339,0.02421
0.49880,-0.38764,-0.29252,9.37029,0.53900,0.78470,0.04529,-0.01370,-0.11839,0.14671
0.51448,-0.39003,-0.31406,9.46062,0.52696,0.77966,0.03129,0.17880,-0.20589,0.21671
0.53008,-0.39362,-0.29073,9.41336,0.52192,0.78330,0.03437,-0.03120,0.00411,0.06796
0.54546,-0.38285,-0.31286,9.43550,0.52192,0.78330,0.03437,0.19630,0.31911,0.02421
0.56129,-0.39721,-0.45823,9.42712,0.52388,0.78078,0.03367,0.25755,0.18786,-0.04579
0.57691,-0.38285,-0.31167,9.38286,0.52388,0.78078,0.03143,-0.27620,0.10036,-0.03704
0.59261,-0.40618,-0.34397,9.47498,0.53256,0.78638,0.03143,0.16130,-0.04839,0.21671
0.60813,-0.38166,-0.32662,9.39183,0.53172,0.78190,0.04459,0.02130,-0.00464,0.09421
