0.000034,-0.21356,-1.11326,9.37029,,0.35896,-0.05222,-0.01533,0.20692,-0.00481,-0.05618,7582,-7497,0.99974,-0.00267,0.02247,0.00000,0.99302,0.11798,-0.02263,-0.11795
0.000034,-0.21376,-1.10828,9.42792,,0.35336,-0.04709,-0.00749,0.16900,-0.15940,0.11590,7582,-7497,0.99942,-0.03144,0.01286,0.02970,0.99252,0.11844,-0.01649,-0.11799
0.021324,-0.22313,-1.14257,9.39721,,0.35350,-0.04676,-0.01526,-0.03808,0.09144,0.05757,7582,-7497,0.99856,-0.05366,0.00048,0.05323,0.99153,0.11849,-0.00683,-0.11829
0.045187,-0.19621,-1.10010,9.38286,,0.35588,-0.04606,-0.02303,0.07567,-0.05731,0.13632,7582,-7497,0.99742,-0.07041,-0.01395,0.07157,0.99040,0.11826,0.00549,-0.11895
0.058857,-0.19442,-1.09173,9.38226,,0.35420,-0.04130,-0.01645,-0.39683,-0.01356,-0.11743,7582,-7497,0.99653,-0.08057,-0.02102,0.08250,0.98958,0.11797,0.01129,-0.11930
0.072559,-0.23210,-1.07737,9.39901,,0.35420,-0.04130,-0.01645,-0.09058,-0.06606,0.07507,7582,-7497,0.99573,-0.08842,-0.02646,0.09094,0.98887,0.11773,0.01576,-0.11964
0.086319,-0.19561,-1.11506,9.35953,,0.35252,-0.04522,-0.02737,-0.05558,-0.19731,-0.00368,7582,-7497,0.99457,-0.09703,-0.03751,0.10081,0.98796,0.11737,0.02567,-0.12051
0.100072,-0.19143,-0.97747,9.37927,,0.35252,-0.04522,-0.02737,-0.04683,0.08269,0.00507,7582,-7497,0.99354,-0.10372,-0.04609,0.10848,0.98719,0.11696,0.03337,-0.12121
0.113860,-0.12144,-1.02652,9.41336,,0.35084,-0.05026,-0.00875,-0.00308,-0.01356,0.00944,7582,-7497,0.99283,-0.11218,-0.04117,0.11628,0.98635,0.11661,0.02752,-0.12056
0.138174,-0.20518,-1.09711,9.33500,,0.35028,-0.04718,-0.01715,-0.10808,-0.03981,0.07507,7582,-7497,0.99223,-0.11687,-0.04258,0.12111,0.98579,0.11640,0.02837,-0.12065
0.151631,-0.19920,-1.07139,9.43310,,0.35028,-0.04718,-0.01715,0.18067,0.25769,0.15382,7582,-7497,0.99175,-0.12050,-0.04373,0.12485,0.98534,0.11625,0.02908,-0.12075
0.165473,-0.20578,-1.08873,9.38644,,0.35196,-0.04354,-0.01631,0.06692,0.00394,-0.01243,7582,-7497,0.99168,-0.12100,-0.04403,0.12538,0.98528,0.11624,0.02932,-0.12079
