1.620867,0.33936,-0.72254,0.11221,5.14856,5.15148
1.636069,0.33558,-0.72688,0.11305,5.14856,5.14491
1.651269,0.34188,-0.73108,0.10171,5.14856,5.14981
1.666533,0.34447,-0.72898,0.10402,5.14856,5.15383
1.681849,0.34594,-0.72268,0.11095,5.14856,5.15884
1.700557,0.34376,-0.72268,0.10457,5.14856,5.15638
1.715770,0.34230,-0.72268,0.10224,5.14856,5.15474
1.731010,0.34202,-0.72548,0.10003,5.14856,5.15293
1.746254,0.34097,-0.72674,0.10507,5.14856,5.15108
1.761675,0.33782,-0.72800,0.11011,5.14856,5.14686
1.776920,0.34160,-0.72527,0.10728,5.14856,5.15257
1.792224,0.34286,-0.72436,0.10490,5.14856,5.15447
1.807592,0.33558,-0.72492,0.10059,5.14856,5.14594
1.823107,0.33586,-0.72716,0.10080,5.14856,5.14508
1.838352,0.33670,-0.72940,0.10101,5.14856,5.14486
1.853719,0.33481,-0.72667,0.08999,5.14856,5.14414
1.872537,0.33513,-0.72475,0.09101,5.14856,5.14551
1.887837,0.33894,-0.72072,0.10983,5.14856,5.15198
1.903085,0.34090,-0.72177,0.11120,5.14856,5.15364
1.918484,0.34286,-0.72212,0.11165,5.14856,5.15567
1.933691,0.34818,-0.73080,0.10927,5.14856,5.15701
1.948867,0.34461,-0.73010,0.11186,5.14856,5.15339
1.964134,0.33390,-0.72800,0.11963,5.14856,5.14242
1.979452,0.33754,-0.72688,0.10808,5.14856,5.14713
1.994787,0.34118,-0.72576,0.10423,5.14856,5.15183
2.010043,0.33474,-0.71456,0.10941,5.14856,5.15048
2.025479,0.33383,-0.71715,0.10864,5.14856,5.14805
2.044292,0.33110,-0.72492,0.10633,5.14856,5.14083
2.059656,0.33530,-0.72534,0.10311,5.14856,5.14540
2.074941,0.33670,-0.72583,0.10175,5.14856,5.14673
2.090340,0.33194,-0.72688,0.09765,5.14856,5.14077
2.105645,0.34076,-0.72618,0.09905,5.14856,5.15114
2.120955,0.34958,-0.72548,0.10045,5.14856,5.16142
2.136175,0.34055,-0.72401,0.11123,5.14856,5.15205
2.151440,0.33754,-0.72387,0.10997,5.14856,5.14871
2.166681,0.33446,-0.72492,0.10619,5.14856,5.14466
2.181955,0.33523,-0.72660,0.10878,5.14856,5.14466
2.197237,0.33754,-0.72828,0.11137,5.14856,5.14639
2.212602,0.33502,-0.72471,0.10539,5.14856,5.14541
2.231456,0.33524,-0.72363,0.10255,5.14856,5.14623
