0.000004,-0.32183,-0.69511,9.37867,-0.38038,-0.45934,-0.22176,-0.13749,-0.02962,-0.02612,21937,-11619,-0.034202,-0.073871,0.996681
0.019669,-0.31585,-0.68076,9.40798,-0.38038,-0.45934,-0.21294,-0.09374,-0.07337,0.01763,21937,-11619,-0.034172,-0.073799,0.996688,0.99941,-0.00252,0.03413,0.00001,-0.99727,-0.07388,-0.03422,-0.07384,0.99668,
0.035453,-0.32243,-0.70170,9.36072,-0.38458,-0.46382,-0.20216,-0.11999,-0.03837,0.05263,21937,-11619,-0.034242,-0.073917,0.996676,0.99941,-0.00250,0.03414,0.00002,-0.99727,-0.07386,-0.03423,-0.07381,0.99668,
0.051040,-0.30748,-0.70349,9.37867,-0.38458,-0.45934,-0.21434,-0.28624,-0.05587,-0.06987,21937,-11619,-0.034147,-0.073924,0.996679,0.99941,-0.00252,0.03415,0.00001,-0.99727,-0.07380,-0.03424,-0.07375,0.99669,
0.066678,-0.33978,-0.67418,9.40798,-0.37870,-0.45934,-0.21434,-0.11999,0.11038,0.09638,21937,-11619,-0.034342,-0.073659,0.996692,0.99941,-0.00249,0.03413,0.00003,-0.99728,-0.07376,-0.03422,-0.07371,0.99669,
0.082255,-0.30688,-0.69033,9.35833,-0.37282,-0.46102,-0.22008,-0.01499,-0.06462,0.00888,21937,-11619,-0.034118,-0.073720,0.996695,0.99941,-0.00249,0.03414,0.00003,-0.99728,-0.07375,-0.03423,-0.07371,0.99669,
0.097692,-0.17946,-0.67358,9.38884,-0.37282,-0.46102,-0.22008,0.01126,0.11913,-0.10487,21937,-11619,-0.033272,-0.073577,0.996734,0.99942,-0.00251,0.03402,0.00000,-0.99728,-0.07374,-0.03411,-0.07370,0.99670,
0.113461,-0.34098,-0.66879,9.40977,-0.37898,-0.45850,-0.20874,0.11626,-0.05587,0.13138,21937,-11619,-0.034230,-0.073507,0.996707,0.99942,-0.00248,0.03404,0.00004,-0.99728,-0.07376,-0.03413,-0.07371,0.99670,
0.129095,-0.29192,-0.67896,9.45225,-0.37898,-0.46270,-0.21182,-0.00624,0.17163,0.02638,21937,-11619,-0.033911,-0.073568,0.996713,0.99942,-0.00247,0.03398,0.00004,-0.99728,-0.07374,-0.03407,-0.07370,0.99670,
0.144747,-0.33679,-0.69631,9.34577,-0.38010,-0.46270,-0.21182,0.05501,-0.01212,0.12263,21937,-11619,-0.034166,-0.073727,0.996693,0.99942,-0.00244,0.03399,0.00008,-0.99728,-0.07376,-0.03408,-0.07372,0.99670,
0.160341,-0.32004,-0.69033,9.45643,-0.38402,-0.45850,-0.20972,-0.04124,0.04038,-0.06112,21937,-11619,-0.034055,-0.073655,0.996702,0.99942,-0.00245,0.03398,0.00006,-0.99728,-0.07374,-0.03407,-0.07370,0.99670,
0.175951,-0.31167,-0.68435,9.35414,-0.38402,-0.45850,-0.20972,-0.00624,0.19788,-0.02612,21937,-11619,-0.033985,-0.073658,0.996704,0.99942,-0.00246,0.03392,0.00005,-0.99728,-0.07374,-0.03401,-0.07369,0.99670,
0.191392,-0.33141,-0.69870,9.44088,-0.38850,-0.45262,-0.21210,0.03751,-0.02962,0.04388,21937,-11619,-0.034053,-0.073695,0.996699,0.99942,-0.00245,0.03394,0.00006,-0.99728,-0.07374,-0.03402,-0.07370,0.99670,
0.207157,-0.31585,-0.70708,9.46481,-0.38514,-0.45822,-0.22064,-0.05874,0.09288,0.16638,21937,-11619,-0.033967,-0.073754,0.996698,0.99942,-0.00240,0.03391,0.00010,-0.99728,-0.07373,-0.03399,-0.07370,0.99670,
0.222792,-0.32602,-0.68195,9.42353,-0.38514,-0.45822,-0.22064,-0.01499,0.02288,0.16638,21937,-11619,-0.034008,-0.073607,0.996707,0.99942,-0.00236,0.03390,0.00015,-0.99728,-0.07372,-0.03398,-0.07369,0.99670,
0.238394,-0.31466,-0.69033,9.37149,-0.38822,-0.45822,-0.21784,-0.02374,0.19788,-0.05237,21937,-11619,-0.033924,-0.073674,0.996705,0.99942,-0.00237,0.03385,0.00013,-0.99728,-0.07372,-0.03393,-0.07368,0.99670,
0.253845,-0.31525,-0.68195,9.45404,-0.38822,-0.45822,-0.21784,0.10751,0.23288,-0.06112,21937,-11619,-0.033834,-0.073557,0.996717,0.99943,-0.00239,0.03378,0.00011,-0.99728,-0.07373,-0.03387,-0.07369,0.99671,
0.269467,-0.33200,-0.68734,9.42712,-0.38290,-0.45962,-0.20580,-0.05874,-0.17837,-0.02612,21937,-11619,-0.033937,-0.073623,0.996709,0.99942,-0.00240,0.03383,0.00010,-0.99728,-0.07371,-0.03392,-0.07367,0.99671,
0.285283,-0.31585,-0.69751,9.39961,-0.38710,-0.46186,-0.20636,-0.00624,-0.15212,-0.14862,21937,-11619,-0.033934,-0.073698,0.996703,0.99942,-0.00244,0.03387,0.00007,-0.99728,-0.07371,-0.03396,-0.07367,0.99670,
